基金代碼,特徵1_國內外,特徵2_產業別,特徵3_高收益債,特徵4_高風險,特徵5_熱門基金,特徵6_基金型態別,特徵7_高報酬
53K,國外,中樞神經系統,,,,a.股票型,今年來報酬率大於10%
53L,國外,中樞神經系統,,,,a.股票型,
53M,國外,器材,,,,a.股票型,今年來報酬率大於10%
53N,國外,器材,,,,a.股票型,
53O,國外,環境服務,,,,a.股票型,今年來報酬率大於10%
53P,國外,環境服務,,,,a.股票型,
53Q,國外,軟體企業,,,,a.股票型,今年來報酬率大於10%
53R,國外,食品及飲品,,,,a.股票型,今年來報酬率大於10%
53S,國外,食品及飲品,,,,a.股票型,今年來報酬率大於10%
53Z,國外,非必需消費品,,,,a.股票型,今年來報酬率大於10%
545,國外,日本股票,,,,d.平衡型,
54F,國外,非必需消費品,,,,a.股票型,
54M,國外,必需消費品,,高風險,,a.股票型,
54Q,國外,政府債券,高收益債,,,b.債券型,
54R,國外,金融債券,高收益債,,,b.債券型,
54S,國外,金融債券,高收益債,,,b.債券型,
54W,國外,金融債券,高收益債,,,b.債券型,
54X,國外,金融債券,高收益債,,,b.債券型,
554,國外,資訊科技,,高風險,,a.股票型,今年來報酬率大於10%
557,國外,工業,,高風險,,a.股票型,今年來報酬率大於10%
55D,國外,非核心消費,,高風險,,a.股票型,今年來報酬率大於10%
55E,國外,公用事業,,,,b.債券型,
55F,國外,外部政府債券,,,,b.債券型,
55G,國外,外部政府債券,,,,b.債券型,
55H,國外,外部政府債券,,,,b.債券型,
55I,國外,外部政府債券,,,,b.債券型,
55N,國外,非民生必需品,,高風險,,a.股票型,今年來報酬率大於10%
55R,國外,資訊科技,,高風險,,a.股票型,今年來報酬率大於10%
55U,國外,能源,,,,a.股票型,
55V,國外,,,高風險,,a.股票型,今年來報酬率大於10%
55X,國外,,,高風險,,a.股票型,
55Y,國外,其他,高收益債,,,b.債券型,
55Z,國外,銀行與證券,高收益債,,,b.債券型,
57C,國外,健康醫療,,,,a.股票型,今年來報酬率大於10%
57D,國外,健康醫療,高收益債,,,d.平衡型,
57E,國外,多元金融業,高收益債,,,b.債券型,
57F,國外,公用事業,,,,b.債券型,
57G,國外,原物料,,高風險,,a.股票型,
57H,國外,景氣循環性消費,,高風險,,a.股票型,今年來報酬率大於10%
57I,國外,機構債券,,,,b.債券型,
57O,國外,消費性耐久財,,高風險,,a.股票型,今年來報酬率大於10%
